"","participant.code","Puzzle","session.code","participant.id_in_session","Good.Reason","Other.Reason","Confidence","Choice","Response","Power","Gender","Condition"
"1","0j8e227s",1,"su48zyc3",2,4,6,4,2,4,1,"Woman","Powerless"
"2","0j8e227s",2,"su48zyc3",2,5,5,4,3,2,1,"Woman","Powerless"
"3","0j8e227s",3,"su48zyc3",2,3,4,3,3,3,1,"Woman","Powerless"
"4","12lgbdu9",1,"h638cw17",2,6,2,7,1,4,4,"Woman","Powerless"
"5","12lgbdu9",2,"h638cw17",2,5,6,6,1,2,4,"Woman","Powerless"
"6","12lgbdu9",3,"h638cw17",2,7,7,9,2,3,4,"Woman","Powerless"
"7","16gdx90f",1,"z7zlsgpp",1,6,1,4,1,4,5,"Woman","Powerful"
"8","16gdx90f",2,"z7zlsgpp",1,6,7,5,3,2,5,"Woman","Powerful"
"9","16gdx90f",3,"z7zlsgpp",1,6,7,6,1,3,5,"Woman","Powerful"
"10","1pg37cs7",1,"t6i46o0l",1,3,2,3,1,3,7,"Man","Powerful"
"11","1pg37cs7",2,"t6i46o0l",1,3,2,1,1,2,7,"Man","Powerful"
"12","1pg37cs7",3,"t6i46o0l",1,4,4,4,3,3,7,"Man","Powerful"
"13","2cmi7xqp",1,"oipz4nnt",1,5,5,4,3,4,4,"Man","Powerful"
"14","2cmi7xqp",2,"oipz4nnt",1,4,5,3,3,1,4,"Man","Powerful"
"15","2cmi7xqp",3,"oipz4nnt",1,4,5,4,3,3,4,"Man","Powerful"
"16","2xbyxkbk",1,"uzj2ztbe",1,3,4,3,2,3,3,"Man","Powerful"
"17","2xbyxkbk",2,"uzj2ztbe",1,3,4,3,1,2,3,"Man","Powerful"
"18","2xbyxkbk",3,"uzj2ztbe",1,5,5,5,3,3,3,"Man","Powerful"
"19","3imzoh1e",1,"i87vkgwy",1,0,7,0,3,0,5,"Woman","Powerful"
"20","3imzoh1e",2,"i87vkgwy",1,6,2,7,1,2,5,"Woman","Powerful"
"21","3imzoh1e",3,"i87vkgwy",1,5,3,5,1,3,5,"Woman","Powerful"
"22","4xqxcz57",1,"oipz4nnt",2,5,3,5,3,4,4,"Woman","Powerless"
"23","4xqxcz57",2,"oipz4nnt",2,4,4,5,3,1,4,"Woman","Powerless"
"24","4xqxcz57",3,"oipz4nnt",2,7,7,4,3,3,4,"Woman","Powerless"
"25","5ldn9m75",1,"c6x7lkwy",1,3,1,5,1,4,6,"Woman","Powerful"
"26","5ldn9m75",2,"c6x7lkwy",1,5,3,4,3,2,6,"Woman","Powerful"
"27","5ldn9m75",3,"c6x7lkwy",1,5,6,6,1,3,6,"Woman","Powerful"
"28","6vjme7j0",1,"a9w8as0m",2,6,4,8,1,4,5,"Woman","Powerless"
"29","6vjme7j0",2,"a9w8as0m",2,3,6,3,1,2,5,"Woman","Powerless"
"30","6vjme7j0",3,"a9w8as0m",2,6,7,7,3,3,5,"Woman","Powerless"
"31","78yha8dp",1,"md0qu86y",2,3,5,3,2,3,5,"Woman","Powerless"
"32","78yha8dp",2,"md0qu86y",2,3,5,3,1,2,5,"Woman","Powerless"
"33","78yha8dp",3,"md0qu86y",2,6,3,7,1,1,5,"Woman","Powerless"
"34","7mx24zbc",1,"mgg2wdiz",1,5,3,4,3,3,4,"Woman","Powerful"
"35","7mx24zbc",2,"mgg2wdiz",1,3,4,2,1,1,4,"Woman","Powerful"
"36","7mx24zbc",3,"mgg2wdiz",1,3,4,2,1,3,4,"Woman","Powerful"
"37","815jholb",1,"z7zlsgpp",2,0,3,0,1,0,4,"Woman","Powerless"
"38","815jholb",2,"z7zlsgpp",2,4,3,4,3,2,4,"Woman","Powerless"
"39","815jholb",3,"z7zlsgpp",2,4,3,4,1,3,4,"Woman","Powerless"
"40","8pmqe23v",1,"mgg2wdiz",2,3,4,4,1,4,4,"Woman","Powerless"
"41","8pmqe23v",2,"mgg2wdiz",2,3,5,3,1,1,4,"Woman","Powerless"
"42","8pmqe23v",3,"mgg2wdiz",2,3,4,3,1,3,4,"Woman","Powerless"
"43","9iprox66",1,"ifkerkgc",1,3,4,3,3,4,4,"Woman","Powerful"
"44","9iprox66",2,"ifkerkgc",1,3,2,3,1,2,4,"Woman","Powerful"
"45","9iprox66",3,"ifkerkgc",1,4,4,4,3,3,4,"Woman","Powerful"
"46","a9v0maez",1,"s9434x9c",2,7,4,9,1,4,4,"Man","Powerless"
"47","a9v0maez",2,"s9434x9c",2,7,4,9,1,2,4,"Man","Powerless"
"48","a9v0maez",3,"s9434x9c",2,7,7,9,1,3,4,"Man","Powerless"
"49","c7key5r2",1,"c6x7lkwy",2,4,4,3,1,2,4,"Woman","Powerless"
"50","c7key5r2",2,"c6x7lkwy",2,3,3,3,3,2,4,"Woman","Powerless"
"51","c7key5r2",3,"c6x7lkwy",2,4,4,4,1,3,4,"Woman","Powerless"
"52","cofbxdd6",1,"uzj2ztbe",2,4,5,5,2,4,4,"Woman","Powerless"
"53","cofbxdd6",2,"uzj2ztbe",2,4,3,5,1,1,4,"Woman","Powerless"
"54","cofbxdd6",3,"uzj2ztbe",2,4,5,5,3,3,4,"Woman","Powerless"
"55","czcaf037",1,"fqxsg009",1,5,5,5,1,4,4,"Woman","Powerful"
"56","czcaf037",2,"fqxsg009",1,3,4,3,2,1,4,"Woman","Powerful"
"57","czcaf037",3,"fqxsg009",1,7,7,8,2,3,4,"Woman","Powerful"
"58","djn0c5dy",1,"zpqiz4vr",1,4,5,3,3,3,4,"Woman","Powerful"
"59","djn0c5dy",2,"zpqiz4vr",1,5,4,4,3,2,4,"Woman","Powerful"
"60","djn0c5dy",3,"zpqiz4vr",1,4,5,5,3,3,4,"Woman","Powerful"
"61","dw9s21qb",1,"ifkerkgc",2,3,6,7,3,4,1,"Man","Powerless"
"62","dw9s21qb",2,"ifkerkgc",2,7,4,9,1,1,1,"Man","Powerless"
"63","dw9s21qb",3,"ifkerkgc",2,7,7,8,3,3,1,"Man","Powerless"
"64","eosradnv",1,"u95rc29i",2,0,3,0,3,0,4,"Man","Powerless"
"65","eosradnv",2,"u95rc29i",2,3,5,4,3,1,4,"Man","Powerless"
"66","eosradnv",3,"u95rc29i",2,3,6,4,3,3,4,"Man","Powerless"
"67","g0w6d8wz",1,"ciklwx1d",2,1,5,1,2,2,2,"Woman","Powerless"
"68","g0w6d8wz",2,"ciklwx1d",2,3,4,3,3,2,2,"Woman","Powerless"
"69","g0w6d8wz",3,"ciklwx1d",2,5,6,5,3,3,2,"Woman","Powerless"
"70","g9bs0891",1,"l7w2yjt5",2,2,2,3,3,2,2,"Man","Powerless"
"71","g9bs0891",2,"l7w2yjt5",2,5,3,5,3,2,2,"Man","Powerless"
"72","g9bs0891",3,"l7w2yjt5",2,4,4,1,3,3,2,"Man","Powerless"
"73","gez4kllf",1,"ciklwx1d",1,7,3,7,1,3,4,"Woman","Powerful"
"74","gez4kllf",2,"ciklwx1d",1,5,4,7,1,2,4,"Woman","Powerful"
"75","gez4kllf",3,"ciklwx1d",1,6,4,8,1,3,4,"Woman","Powerful"
